Work_Year,AWI,Growth_in_AWI
1979," $11,479.46 ",
1980," $12,513.46 ",9.01%
1981," $13,773.10 ",10.07%
1982," $14,531.34 ",5.51%
1983," $15,239.24 ",4.87%
1984," $16,135.07 ",5.88%
1985," $16,822.51 ",4.26%
1986," $17,321.82 ",2.97%
1987," $18,426.51 ",6.38%
1988," $19,334.04 ",4.93%
1989," $20,099.55 ",3.96%
1990," $21,027.98 ",4.62%
1991," $21,811.60 ",3.73%
1992," $22,935.42 ",5.15%
1993," $23,132.67 ",0.86%
1994," $23,753.53 ",2.68%
1995," $24,705.66 ",4.01%
1996," $25,913.90 ",4.89%
1997," $27,426.00 ",5.84%
1998," $28,861.44 ",5.23%
1999," $30,469.84 ",5.57%
2000," $32,154.82 ",5.53%
2001," $32,921.92 ",2.39%
2002," $33,252.09 ",1.00%
2003," $34,064.95 ",2.44%
2004," $35,648.55 ",4.65%
2005," $36,952.94 ",3.66%
2006," $38,651.41 ",4.60%
2007," $40,405.48 ",4.54%
2008," $41,334.97 ",2.30%
2009," $40,711.61 ",-1.51%
2010," $41,673.83 ",2.36%
2011," $42,979.61 ",3.13%
2012," $44,321.67 ",3.12%
2013," $44,888.16 ",1.28%
2014," $46,481.52 ",3.55%
2015," $48,098.63 ",3.48%
2016," $48,642.15 ",1.13%
2017," $50,321.89 ",3.45%
2018," $52,145.80 ",3.62%
2019," $54,099.99 ",3.75%
2020," $55,628.60 ",2.83%
2021," $60,575.07 ",8.89%
